Timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
1741711717.8890836,-0.5130709999999999,0.8556469999999999,0.172874,-0.32375,-0.11375,0.7525000000000001
1741711717.8918674,-0.508679,0.8553419999999999,0.1733009999999999,-0.20125,-0.23625,0.6737500000000001
1741711717.8946023,-0.507703,0.859368,0.171227,-0.14875,-0.14875,0.49
1741711717.8974614,-0.505202,0.857416,0.169458,-0.30625,-0.27125,0.56
1741711717.9013867,-0.506727,0.856745,0.168848,-0.2275,-0.0875,0.58625
1741711717.9046924,-0.505873,0.85522,0.167933,-0.2975,-0.2275,0.63875
1741711717.907643,-0.512156,0.858026,0.169153,-0.2275,-0.1225,0.63875
1741711717.9105718,-0.505629,0.859673,0.173911,-0.30625,-0.28,0.7612500000000001
1741711717.9132907,-0.503494,0.857965,0.169885,-0.245,-0.11375,0.69125
1741711717.915985,-0.504958,0.856684,0.165493,-0.105,-0.16625,0.665
1741711717.919124,-0.506056,0.857721,0.1723859999999999,-0.23625,-0.07,0.525
1741711717.922819,-0.50691,0.856623,0.1708609999999999,-0.2275,-0.21,0.5425000000000001
1741711717.9257524,-0.508618,0.8562569999999999,0.17019,-0.0875,-0.18375,0.58625
1741711717.9284544,-0.509899,0.861015,0.1717759999999999,-0.2625,-0.175,0.5337500000000001
1741711717.9313405,-0.507581,0.858636,0.172813,-0.21875,-0.16625,0.5687500000000001
1741711717.9340615,-0.511668,0.8586969999999999,0.167994,-0.18375,-0.21875,0.7087500000000001
1741711717.9366548,-0.505873,0.856501,0.173789,-0.21,-0.28875,0.63875
1741711717.9396544,-0.508557,0.856623,0.1708,-0.21,-0.1925,0.665
1741711717.943242,-0.509411,0.857233,0.171105,-0.27125,-0.20125,0.665
1741711717.9461913,-0.505385,0.856806,0.171593,-0.21875,-0.105,0.5337500000000001
1741711717.94909,-0.510997,0.858819,0.170495,-0.2625,-0.1575,0.46375
1741711717.9519515,-0.512949,0.855708,0.171227,-0.30625,-0.23625,0.6562500000000001
1741711717.954678,-0.50935,0.856379,0.170068,-0.245,-0.14,0.525
1741711717.9573476,-0.507825,0.856196,0.168482,-0.34125,-0.27125,0.58625
1741711717.9614272,-0.50752,0.85888,0.170617,-0.385,-0.18375,0.5425000000000001
1741711717.9649289,-0.509838,0.859856,0.170007,-0.23625,-0.175,0.5687500000000001
1741711717.9676652,-0.509106,0.85705,0.1711659999999999,-0.175,-0.2275,0.60375
1741711717.9705937,-0.512339,0.855159,0.171837,-0.14,-0.13125,0.55125
1741711717.973331,-0.508557,0.856013,0.16775,-0.245,-0.2275,0.6475000000000001
1741711717.97605,-0.508191,0.85644,0.169885,-0.315,-0.16625,0.5950000000000001
1741711717.9789512,-0.509045,0.857538,0.16836,-0.07875,-0.1225,0.6562500000000001
1741711717.9826767,-0.507886,0.858575,0.172508,-0.11375,-0.105,0.6562500000000001
1741711717.9859574,-0.510021,0.856745,0.16958,-0.2975,-0.13125,0.6125
1741711717.9888463,-0.509228,0.85766,0.169702,-0.1925,-0.21,0.525
1741711717.9917643,-0.508435,0.858209,0.171654,-0.27125,-0.175,0.525
1741711717.9945,-0.509716,0.85461,0.171044,-0.30625,-0.25375,0.6562500000000001
1741711717.9971824,-0.504897,0.8583919999999999,0.171105,-0.32375,-0.175,0.58625
1741711718.000271,-0.512644,0.856684,0.170617,-0.32375,-0.21875,0.5950000000000001
1741711718.0037832,-0.506239,0.856501,0.1708609999999999,-0.245,-0.14,0.5425000000000001
1741711718.0067894,-0.508435,0.857538,0.171898,-0.245,-0.23625,0.7000000000000001
1741711718.0096972,-0.511058,0.857538,0.1665299999999999,-0.27125,-0.1575,0.6212500000000001
1741711718.0126092,-0.506422,0.856013,0.167201,-0.27125,-0.2625,0.58625
1741711718.015361,-0.503006,0.856379,0.173057,-0.42875,-0.06125,0.6212500000000001
1741711718.018059,-0.505263,0.854305,0.168177,-0.34125,-0.16625,0.55125
1741711718.0212908,-0.505629,0.8571719999999999,0.16958,-0.315,-0.11375,0.5950000000000001
1741711718.0248013,-0.50752,0.856318,0.170068,-0.25375,-0.18375,0.6212500000000001
1741711718.0277903,-0.504897,0.8556469999999999,0.173484,-0.23625,-0.25375,0.5775
1741711718.0307236,-0.509106,0.8553419999999999,0.172264,-0.18375,-0.11375,0.58625
1741711718.0336142,-0.508435,0.855769,0.169397,-0.34125,-0.23625,0.6125
1741711718.036324,-0.506727,0.859673,0.17324,-0.28875,-0.2275,0.6125
1741711718.039032,-0.507093,0.855769,0.17629,-0.2975,-0.2275,0.58625
1741711718.0440435,-0.505812,0.85766,0.1711659999999999,-0.1925,-0.14875,0.665
1741711718.046981,-0.508313,0.8586969999999999,0.1717759999999999,-0.27125,-0.245,0.5162500000000001
1741711718.049565,-0.508679,0.85888,0.172508,-0.14875,-0.2275,0.7000000000000001
1741711718.0519872,-0.50996,0.858026,0.16897,-0.28875,-0.16625,0.6212500000000001
1741711718.0544274,-0.510448,0.858819,0.1702509999999999,-0.25375,-0.175,0.6125
1741711718.0567803,-0.508496,0.855403,0.168787,-0.1225,-0.27125,0.58625
1741711718.0590515,-0.508496,0.857843,0.1708609999999999,-0.20125,-0.0875,0.44625
1741711718.0618458,-0.507703,0.856623,0.175314,-0.18375,-0.21,0.5687500000000001
1741711718.0651374,-0.506971,0.8596119999999999,0.173057,-0.175,-0.175,0.6562500000000001
1741711718.0678194,-0.511363,0.857111,0.171532,-0.35875,-0.105,0.6562500000000001
1741711718.070246,-0.507032,0.856745,0.172752,-0.1925,-0.18375,0.6825000000000001
1741711718.0727053,-0.507032,0.8525969999999999,0.169885,-0.245,-0.23625,0.6562500000000001
1741711718.0751307,-0.508679,0.85766,0.170922,-0.30625,-0.0875,0.63875
1741711718.0773928,-0.512034,0.857233,0.170068,-0.37625,-0.14875,0.4725
1741711718.0797834,-0.511546,0.858514,0.172203,-0.34125,-0.14875,0.55125
1741711718.0837634,-0.509289,0.85644,0.170678,-0.41125,-0.14,0.4725
1741711718.0866838,-0.506056,0.8583919999999999,0.168482,-0.28,-0.11375,0.56
1741711718.0890312,-0.506971,0.8577819999999999,0.170129,-0.30625,-0.11375,0.6125
1741711718.0914938,-0.510326,0.856928,0.167079,-0.30625,-0.13125,0.7000000000000001
1741711718.0939815,-0.508801,0.8586969999999999,0.171227,-0.34125,-0.245,0.56
1741711718.0962176,-0.511119,0.858148,0.172142,-0.32375,-0.1575,0.6562500000000001
1741711718.0985591,-0.511363,0.85827,0.170129,-0.1925,-0.0875,0.56
1741711718.100834,-0.506727,0.856501,0.172203,-0.2975,-0.18375,0.7087500000000001
1741711718.1036634,-0.507154,0.857111,0.169824,-0.21875,-0.13125,0.55125
1741711718.1067674,-0.508069,0.857599,0.171898,-0.23625,-0.105,0.5775
1741711718.1092005,-0.5124609999999999,0.857233,0.1702509999999999,-0.30625,-0.1575,0.6125
1741711718.111558,-0.512217,0.857599,0.17141,-0.27125,-0.1225,0.5425000000000001
1741711718.113935,-0.51057,0.857294,0.170434,-0.16625,-0.21875,0.7525000000000001
1741711718.116259,-0.508862,0.854183,0.1708,-0.175,-0.14875,0.6475000000000001
1741711718.1186056,-0.510204,0.857355,0.166591,-0.1925,-0.16625,0.665
1741711718.1209574,-0.50752,0.857233,0.173118,-0.07875,-0.175,0.6212500000000001
1741711718.1234035,-0.507276,0.85766,0.171593,-0.23625,-0.105,0.60375
1741711718.1258938,-0.507947,0.856989,0.171959,-0.21,-0.13125,0.5775
1741711718.1283464,-0.509228,0.859856,0.175741,-0.2275,-0.20125,0.58625
1741711718.130956,-0.507276,0.858758,0.171105,-0.245,-0.14,0.5775
1741711718.1337,-0.504897,0.856379,0.17202,-0.21,-0.1925,0.6125
1741711718.1360884,-0.508069,0.85827,0.17019,-0.2625,-0.09625,0.6212500000000001
1741711718.1384096,-0.508252,0.843325,0.172569,-0.3325,-0.11375,0.69125
1741711718.1408863,-0.509289,0.856989,0.175619,-0.3325,-0.14,0.5687500000000001
1741711718.1440043,-0.508435,0.858331,0.167689,-0.27125,-0.2975,0.6825000000000001
1741711718.1468594,-0.510814,0.856074,0.170007,-0.30625,-0.18375,0.60375
1741711718.1493294,-0.512705,0.859063,0.1705559999999999,-0.2275,-0.23625,0.665
1741711718.151801,-0.512583,0.8568669999999999,0.167323,-0.28,-0.20125,0.5425000000000001
1741711718.1542552,-0.50935,0.85583,0.1736059999999999,-0.37625,-0.25375,0.6475000000000001
1741711718.1566086,-0.50996,0.8580869999999999,0.167994,-0.18375,-0.0525,0.525
1741711718.1589153,-0.505324,0.855586,0.170373,-0.32375,-0.25375,0.5687500000000001
1741711718.1611998,-0.505385,0.85888,0.172142,-0.3325,-0.21875,0.48125
1741711718.165141,-0.506544,0.858819,0.171898,-0.2275,-0.175,0.5075000000000001
1741711718.168077,-0.508679,0.8593069999999999,0.173789,-0.2625,-0.11375,0.69125
1741711718.170517,-0.506178,0.857355,0.171044,-0.3325,-0.09625,0.5775
1741711718.1728866,-0.510021,0.858758,0.174765,-0.20125,-0.14875,0.63875
1741711718.1752324,-0.503616,0.860039,0.171959,-0.30625,-0.1925,0.6562500000000001
1741711718.1775851,-0.504104,0.859551,0.167567,-0.245,-0.18375,0.5950000000000001
1741711718.1799543,-0.511851,0.854854,0.172447,-0.18375,-0.21,0.6125
